X0,,,3 mm pin,,,,,,,
channel,effective area,effective area err,rate spectrum at 10 arcmin,err,5 arcmin,err,2 arcmin,err,0 arcmin,err
0,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
1,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
2,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
3,#DIV/0!,#DIV/0!,0,0,0,0,0,0,0,0
4,#DIV/0!,#DIV/0!,0.066666667,0.033333333,0.15,0.05,0.116666667,0.044095855,0,0
5,#DIV/0!,#DIV/0!,0.933333333,0.124721913,0.6,0.1,0.916666667,0.123603308,0.933333333,0.124721913
6,0,0,11.18333333,0.431727795,3.416666667,0.238630351,5.366666667,0.299072641,12.03333333,0.447834295
7,0,0,60.26666667,1.002219759,74.86666667,1.117039739,65.38333333,1.043897611,52.38333333,0.934374419
8,0,0,113.6333333,1.376186357,99.66666667,1.288840995,107.8666667,1.340812357,108.55,1.345052663
9,0.444297857,0.454753355,83.63333333,1.180630717,63.51666667,1.028888289,76.1,1.12620306,81.45,1.16511802
10,2.07339,1.620843522,63.66666667,1.030102476,16.23333333,0.520149551,24.88333333,0.643989303,68.65,1.069657266
11,5.08923,2.582882035,1.583333333,0.162446572,1.25,0.144337567,0.95,0.125830574,3.583333333,0.244381305
12,8.3972295,3.858260694,0.183333333,0.05527708,0.233333333,0.062360956,0.116666667,0.044095855,0.116666667,0.044095855
13,8.663808214,2.359608871,0.6,0.1,0.466666667,0.08819171,0.4,0.081649658,0.45,0.08660254
14,9.719015625,1.963946701,1.283333333,0.146249406,1.466666667,0.156347192,1.116666667,0.136422546,1.05,0.132287566
15,10.553895,1.854791011,2.4,0.2,2.566666667,0.206827894,2.583333333,0.207498327,2.833333333,0.217306747
16,9.634502446,1.409270556,5.066666667,0.290593263,5.366666667,0.299072641,5.5,0.302765035,4.816666667,0.283333333
17,14.76306171,2.121890491,7.183333333,0.346008992,9.183333333,0.391223153,8.983333333,0.386939559,9.6,0.4
18,10.24661933,1.338298423,9.583333333,0.399652627,11.6,0.439696865,12.21666667,0.451232879,13.38333333,0.472287577
19,10.14869842,1.316847724,10.48333333,0.417997873,15.33333333,0.50552503,16.15,0.518812747,16.53333333,0.524933858
20,9.893287629,1.280436471,12.48333333,0.456131073,17.01666667,0.53255151,18.18333333,0.550504819,19.06666667,0.563717818
21,12.76308467,1.63100607,12.88333333,0.463381292,19.23333333,0.566176258,20.51666667,0.58476016,21.36666667,0.59675046
22,9.697587874,1.205382216,13.28333333,0.470519807,20.23333333,0.58070838,22.55,0.613052472,22.13333333,0.607362239
23,11.11855388,1.376472494,14.43333333,0.490464632,21.4,0.597215762,23.55,0.626498204,23.15,0.621154838
24,11.64217659,1.469948985,14.3,0.488193951,21.13333333,0.593483127,23.91666667,0.631356564,25.86666667,0.65659052
25,9.665875683,1.149332736,14.38333333,0.489614361,22.56666667,0.613278983,25,0.645497224,25,0.645497224
26,13.062357,1.500000749,15.53333333,0.508811251,23.08333333,0.620259802,26.9,0.669576981,26.56666667,0.665415493
27,13.45449815,1.490446434,16.21666667,0.519882465,25.4,0.65064071,28.16666667,0.68516016,26.96666667,0.670406179
28,11.1717527,1.227543974,18.15,0.55,25.38333333,0.65042721,29.23333333,0.698013053,28.76666667,0.692419269
29,10.76978006,1.112199768,18.23333333,0.55126118,27.21666667,0.673506578,31.31666667,0.722457227,32.85,0.739932429
30,11.85323212,1.131850548,19.55,0.570818126,29.8,0.704745817,35.15,0.7653975,33.53333333,0.747588716
31,9.696946245,0.897609021,21.58333333,0.599768474,33.55,0.747774476,38.91666667,0.805363962,37.7,0.792674797
32,11.41221273,0.989025429,25.01666667,0.645712354,36.83333333,0.783510618,42.65,0.843109325,42.2,0.838649708
33,10.70523995,0.867512639,27,0.670820393,41.91666667,0.835829595,47.03333333,0.885374999,47.71666667,0.891783481
34,10.35793526,0.768829338,29.45,0.700594985,46.21666667,0.877654703,53.6,0.945163125,54.73333333,0.955103252
35,10.39656986,0.729866226,35.26666667,0.766666667,54.16666667,0.950146188,61.58333333,1.013108528,62.25,1.018577439
36,9.029279032,0.560856887,40.43333333,0.820907357,59.55,0.996242942,70.36666667,1.08294865,70.28333333,1.082307206
37,8.550412791,0.477692042,45.15,0.867467579,70.86666667,1.086789359,84.11666667,1.184037349,83.35,1.178629147
38,8.520300507,0.414086922,56.33333333,0.96896279,87.25,1.205888331,106,1.329160136,105.3833333,1.325288229
39,8.585553143,0.343581787,71.33333333,1.090361816,122.4833333,1.428771811,155.15,1.608052653,153.8666667,1.601388287
