Total effective areas (cm^2) for double reflected rays at 5 keV
Off-axis source along detector diagonal

Pre-collimator blade length  =  0.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2731  3.9218  3.6387  3.3789  3.1061  2.8612  2.6233  2.3697  2.1285  1.9212 
 2.  4.1486  3.8675  3.5245  3.2202  2.9699  2.6945  2.5419  2.3114  2.0825  1.8331 
 4.  3.7798  3.4787  3.1579  2.8549  2.6118  2.3663  2.2662  2.0902  1.8802  1.6358 
 6.  3.3324  3.02  2.7246  2.4147  2.1643  1.9347  1.9371  1.7711  1.6211  1.4414 
 8.  2.7959  2.5262  2.2139  1.9343  1.7058  1.4867  1.492  1.3809  1.2893  1.1626 
 10.  2.2634  1.983  1.7596  1.5278  1.3363  1.1632  1.1726  1.0847  0.984  0.8235 
 12.  0.0982  0.0774  0.0479  0.0219  0.0085  0.0024  0.0063  0.0043  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 
Pre-collimator blade length  =  3.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2645  3.9781  3.6671  3.3639  3.0987  2.8488  2.6247  2.3748  2.1487  1.8928 
 2.  4.1467  3.8201  3.5175  3.2001  2.9294  2.6906  2.5343  2.2779  2.059  1.8076 
 4.  3.7169  3.385  3.0971  2.7773  2.5207  2.2926  2.208  2.0244  1.8186  1.5918 
 6.  3.1701  2.8771  2.5392  2.2485  2.0029  1.7817  1.7822  1.6936  1.5329  1.3542 
 8.  2.5914  2.2713  1.9935  1.741  1.5136  1.2989  1.3267  1.273  1.1561  1.0562 
 10.  2.0212  1.7893  1.6008  1.3166  1.1498  0.9968  1.0171  0.9412  0.8844  0.7628 
 12.  0.045  0.0171  0.0054  0.0004  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 
Pre-collimator blade length  =  6.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
