Total effective areas (cm^2) for rays singly reflected from H at 5 keV
Total eff area numbers multiplied by 10^4
Off-axis source along detector diagonal

Pre-collimator blade length  =  0.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  308. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  310.  1449. 
 18.  0.  0.  0.  0.  0.  0.  0.  352.  1167.  1845. 
 20.  0.  0.  0.  0.  0.  0.  356.  1150.  1815.  2072. 
 22.  0.  0.  0.  0.  0.  318.  1019.  1576.  1873.  1744. 
 24.  0.  0.  0.  0.  381.  789.  1439.  1653.  1556.  1218. 
 26.  0.  0.  0.  459.  829.  1178.  1505.  1495.  1036.  576. 
 28.  0.  0.  432.  900.  1184.  1291.  1207.  1057.  464.  51. 
 30.  0.  492.  989.  1211.  1197.  1027.  983.  433.  38.  0. 
 
Pre-collimator blade length  =  3.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  316. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  299.  1370. 
 18.  0.  0.  0.  0.  0.  0.  0.  393.  1214.  1615. 
 20.  0.  0.  0.  0.  0.  0.  354.  947.  1266.  1393. 
 22.  0.  0.  0.  0.  0.  334.  862.  1041.  1199.  940. 
