Total effective areas (cm^2) for rays singly reflected from P at 5 keV
Total eff area numbers multiplied by 10^4
Off-axis source along detector diagonal

Pre-collimator blade length  =  0.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  135. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  125.  804. 
 18.  0.  0.  0.  0.  0.  0.  0.  129.  383.  608. 
 20.  0.  0.  0.  0.  0.  0.  24.  101.  115.  168. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 
Pre-collimator blade length  =  3.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  160. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  124.  482. 
 18.  0.  0.  0.  0.  0.  0.  0.  24.  60.  120. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
