Maximum effective areas per pixel (cm^2/pixel) for double reflected rays at 5 keV
Off-axis source along detector diagonal

Pre-collimator blade length  =  0.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2731  3.9218  3.6387  3.3789  3.1061  2.8612  2.6233  2.3697  2.1285  1.9212 
 2.  1.5386  1.4159  1.2971  1.1818  1.0817  0.959  0.955  0.8265  0.735  0.6456 
 4.  3.1852  2.8032  2.4375  2.0947  1.8301  1.5586  1.4858  1.3056  1.1277  0.9301 
 6.  0.8322  0.7226  0.6227  0.5358  0.4335  0.3562  0.3783  0.3254  0.2752  0.2276 
 8.  0.3828  0.309  0.2407  0.1858  0.1608  0.1298  0.1652  0.1675  0.1711  0.1467 
 10.  0.1626  0.1486  0.118  0.1013  0.0807  0.0694  0.0732  0.0685  0.0613  0.0577 
 12.  0.0237  0.0219  0.0127  0.0091  0.0039  0.0012  0.0038  0.002  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 
Pre-collimator blade length  =  3.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2645  3.9781  3.6671  3.3639  3.0987  2.8488  2.6247  2.3748  2.1487  1.8928 
 2.  1.5755  1.4035  1.2925  1.1852  1.0644  0.9653  0.9326  0.826  0.7283  0.6421 
 4.  3.1672  2.7558  2.4179  2.0491  1.7815  1.5574  1.4725  1.3031  1.1201  0.9215 
 6.  0.7895  0.6668  0.5588  0.4556  0.3727  0.3217  0.33  0.3186  0.2794  0.2261 
 8.  0.3147  0.2495  0.1996  0.1686  0.1398  0.1119  0.1354  0.1482  0.1415  0.1325 
 10.  0.1639  0.135  0.1198  0.0903  0.0775  0.0628  0.0704  0.0653  0.06  0.0533 
 12.  0.0113  0.0093  0.0028  0.0002  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
