Maximum effective areas per pixel (cm^2/pixel) for rays singly reflected from H at 5 keV
Max eff area numbers multiplied by 10^8
Off-axis source along detector diagonal

Pre-collimator blade length  =  0.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  463382. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  222826.  305509. 
 18.  0.  0.  0.  0.  0.  0.  0.  184660.  212283.  217087. 
 20.  0.  0.  0.  0.  0.  0.  175528.  189092.  182701.  159206. 
 22.  0.  0.  0.  0.  0.  123112.  179838.  139789.  153086.  193774. 
 24.  0.  0.  0.  0.  153764.  197863.  147202.  178337.  171987.  180235. 
 26.  0.  0.  0.  126046.  197562.  147492.  188283.  182564.  157649.  133482. 
 28.  0.  0.  115034.  171891.  181513.  169704.  173024.  129676.  107247.  67656. 
 30.  0.  150191.  142122.  197852.  165235.  153706.  135805.  112985.  72418.  0. 
 
Pre-collimator blade length  =  3.  inches
Columns are off-axis angle in arcmin followed by shell numbers
theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  463389. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  286618.  258549. 
 18.  0.  0.  0.  0.  0.  0.  0.  218159.  212061.  249172. 
 20.  0.  0.  0.  0.  0.  0.  210325.  171536.  183395.  159905. 
