theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  657781. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  238611.  244110. 
 18.  0.  0.  0.  0.  0.  0.  0.  184643.  227509.  232814. 
 20.  0.  0.  0.  0.  0.  0.  175110.  154700.  182446.  158989. 
 22.  0.  0.  0.  0.  0.  157887.  161087.  139833.  101606.  128571. 
 24.  0.  0.  0.  0.  115298.  71888.  91904.  88782.  17184.  0. 
 26.  0.  0.  0.  104531.  0.  0.  0.  0.  0.  0. 
 28.  0.  24117.  68768.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  24916.  0.  0.  0.  0.  0.  0.  0.  0. 
