theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  463389. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  286618.  258549. 
 18.  0.  0.  0.  0.  0.  0.  0.  218159.  212061.  249172. 
 20.  0.  0.  0.  0.  0.  0.  210325.  171536.  183395.  159905. 
 22.  0.  0.  0.  0.  0.  158293.  161451.  192547.  202381.  160891. 
 24.  0.  0.  0.  0.  153627.  144110.  146258.  125668.  155883.  114681. 
 26.  0.  0.  0.  146807.  118434.  128709.  149640.  145035.  87395.  0. 
 28.  0.  48227.  160234.  172262.  121281.  94219.  114840.  55500.  0.  0. 
 30.  0.  124904.  141490.  110040.  122901.  19065.  19279.  0.  0.  0. 
