theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2635  3.9505  3.6683  3.3797  3.0928  2.8463  2.5998  2.3696  2.138  1.9271 
 2.  1.5709  1.4183  1.2759  1.171  1.0771  0.9387  0.931  0.8299  0.7295  0.6473 
 4.  2.9142  2.5653  2.1894  1.8823  1.6123  1.3578  1.345  1.2346  1.0727  0.9172 
 6.  0.6846  0.6022  0.4942  0.4388  0.373  0.3169  0.3271  0.2697  0.2394  0.2048 
 8.  0.234  0.1889  0.1695  0.1314  0.1084  0.0903  0.1087  0.1138  0.1105  0.1111 
 10.  0.1306  0.1074  0.0914  0.0784  0.0597  0.046  0.0625  0.0582  0.0539  0.0553 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 
