theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2731  3.9218  3.6387  3.3789  3.1061  2.8612  2.6233  2.3697  2.1285  1.9212 
 2.  1.5386  1.4159  1.2971  1.1818  1.0817  0.959  0.955  0.8265  0.735  0.6456 
 4.  3.1852  2.8032  2.4375  2.0947  1.8301  1.5586  1.4858  1.3056  1.1277  0.9301 
 6.  0.8322  0.7226  0.6227  0.5358  0.4335  0.3562  0.3783  0.3254  0.2752  0.2276 
 8.  0.3828  0.309  0.2407  0.1858  0.1608  0.1298  0.1652  0.1675  0.1711  0.1467 
 10.  0.1626  0.1486  0.118  0.1013  0.0807  0.0694  0.0732  0.0685  0.0613  0.0577 
 12.  0.0237  0.0219  0.0127  0.0091  0.0039  0.0012  0.0038  0.002  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
