theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  326. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  274.  1063. 
 18.  0.  0.  0.  0.  0.  0.  0.  319.  840.  971. 
 20.  0.  0.  0.  0.  0.  0.  275.  565.  706.  679. 
 22.  0.  0.  0.  0.  0.  197.  350.  401.  354.  121. 
 24.  0.  0.  0.  0.  154.  68.  115.  86.  10.  0. 
 26.  0.  0.  0.  103.  0.  0.  0.  0.  0.  0. 
 28.  0.  2.  44.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  2.  0.  0.  0.  0.  0.  0.  0.  0. 
