theta   1       2       3       4       5       6       7       8       9      10
 0.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 2.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 4.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 6.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 8.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 10.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 12.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  316. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  299.  1370. 
 18.  0.  0.  0.  0.  0.  0.  0.  393.  1214.  1615. 
 20.  0.  0.  0.  0.  0.  0.  354.  947.  1266.  1393. 
 22.  0.  0.  0.  0.  0.  334.  862.  1041.  1199.  940. 
 24.  0.  0.  0.  0.  442.  646.  806.  859.  800.  265. 
 26.  0.  0.  0.  394.  524.  517.  626.  571.  121.  0. 
 28.  0.  5.  362.  535.  446.  272.  326.  35.  0.  0. 
 30.  0.  342.  518.  385.  247.  6.  2.  0.  0.  0. 
