theta   1       2       3       4       5       6       7       8       9      10
 0.  4.2731  3.9218  3.6387  3.3789  3.1061  2.8612  2.6233  2.3697  2.1285  1.9212 
 2.  4.1486  3.8675  3.5245  3.2202  2.9699  2.6945  2.5419  2.3114  2.0825  1.8331 
 4.  3.7798  3.4787  3.1579  2.8549  2.6118  2.3663  2.2662  2.0902  1.8802  1.6358 
 6.  3.3324  3.02  2.7246  2.4147  2.1643  1.9347  1.9371  1.7711  1.6211  1.4414 
 8.  2.7959  2.5262  2.2139  1.9343  1.7058  1.4867  1.492  1.3809  1.2893  1.1626 
 10.  2.2634  1.983  1.7596  1.5278  1.3363  1.1632  1.1726  1.0847  0.984  0.8235 
 12.  0.0982  0.0774  0.0479  0.0219  0.0085  0.0024  0.0063  0.0043  0.  0. 
 14.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 16.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 18.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 20.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 22.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 24.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 26.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 28.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
 30.  0.  0.  0.  0.  0.  0.  0.  0.  0.  0. 
